ID,Formacao,Experiencia,Conhecimento_Refatoracao,Conhecimento_Java,Genero,FaixaEtaria,AreaAtuacao,Regiao
P95,Mestrado,3-5 anos,Básico,Avançado,Feminino,25-34,Indústria,Sudeste
P96,Mestrado,3-5 anos,Básico,Básico,Masculino,<25,Indústria,Sudeste
P97,Graduação,1-2 anos,Básico,Nenhum,Masculino,<25,Estudante,Nordeste
P98,Graduação,1-2 anos,Razoável,Nenhum,Masculino,25-34,Academia,Centro-Oeste
P99,Graduação,6+ anos,Básico,Razoável,Masculino,25-34,Indústria,Nordeste
P100,Graduação,1-2 anos,Básico,Avançado,Masculino,35-44,Indústria,Nordeste
P101,Mestrado,3-5 anos,Avançado,Razoável,Masculino,25-34,Indústria,Sudeste
P102,Mestrado,6+ anos,Avançado,Razoável,Masculino,25-34,Indústria,Sudeste
P103,Graduação,1-2 anos,Básico,Razoável,Masculino,<25,Indústria,Nordeste
P104,Graduação,6+ anos,Razoável,Avançado,Masculino,25-34,Indústria,Nordeste
P105,Graduação,6+ anos,Básico,Razoável,Feminino,<25,Indústria,Nordeste
P106,Mestrado,< 1 ano,Básico,Básico,Masculino,<25,Academia,Sudeste
P107,Especialização,3-5 anos,Básico,Razoável,Masculino,45,Academia,Sudeste
P108,Mestrado,3-5 anos,Básico,Básico,Feminino,25-34,Indústria,Sudeste
P109,Especialização,1-2 anos,Avançado,Básico,Masculino,35-44,Indústria,Sudeste
P110,Graduação,< 1 ano,Avançado,Razoável,Masculino,25-34,Academia,Centro-Oeste
P111,Graduação,1-2 anos,Razoável,Básico,Masculino,25-34,Indústria,Nordeste
P112,Graduação,< 1 ano,Avançado,Razoável,Masculino,25-34,Estudante,Centro-Oeste
P113,Graduação,1-2 anos,Razoável,Razoável,Feminino,25-34,Academia,Nordeste
P114,Especialização,6+ anos,Básico,Básico,Feminino,25-34,Indústria,Sudeste
P115,Graduação,6+ anos,Básico,Avançado,Masculino,<25,Indústria,Nordeste
P116,Mestrado,< 1 ano,Básico,Nenhum,Feminino,25-34,Academia,Sudeste
P117,Mestrado,1-2 anos,Básico,Razoável,Feminino,<25,Indústria,Sudeste
P118,Mestrado,6+ anos,Nenhum,Nenhum,Masculino,<25,Academia,Sudeste
P119,Graduação,3-5 anos,Razoável,Razoável,Feminino,25-34,Estudante,Norte
P120,Especialização,3-5 anos,Básico,Básico,Masculino,<25,Academia,Sul
